MONTOAPROBADO;CALIFICACION_TOTAL;INGRESONETOCLIENTE;TUVOMORA
20000;292;95000;0
20200;239;47000;0
30000;248;42000;0
30000;271;54000;1
30000;283;46000;1
30000;292;62000;1
30000;295;46000;1
30000;564;43000;0
30000;573;75000;0
30000;575;26000;1
30000;578;50000;0
30000;586;-10000;0
30000;587;34000;0
30000;589;46000;0
30000;593;290000;0
30000;595;0;0
30000;595;65000;1
30000;599;45000;0
30000;601;10000;1
30000;603;0;1
30000;604;0;1
30000;619;0;0
30000;623;34500;0
30000;625;32000;0
30000;626;54000;0
30000;628;0;1
30000;633;27000;0
30000;635;25000;0
30000;636;95000;0
30000;637;108400;0
30000;637;88500;0
30000;638;65000;0
30000;640;19400;0
30000;643;-13000;1
30000;643;28000;1
30000;646;32000;0
30000;654;41000;0
30000;655;0;0
30000;655;48500;0
30000;657;32500;0
30000;667;44500;0
30000;667;100000;0
30000;671;32000;0
30000;673;68500;0
30000;675;-23700;0
30000;675;32000;0
30000;677;-13000;1
30000;677;68500;1
30000;686;38000;0
30000;688;68500;0
30000;705;23000;0
30000;708;28200;0
30000;748;-2000;0
30200;575;0;0
30200;582;26000;0
30200;583;-51000;0
30200;583;-53000;0
30200;681;-84000;1
30200;697;48000;0
30300;630;95000;0
30300;648;34000;0
30300;660;53000;0
30300;688;45000;0
30500;599;0;0
30500;646;41000;0
30600;672;80000;0
30744;709;48000;1
31000;575;30000;0
31000;652;48500;0
31400;634;46000;0
31400;671;46000;0
31600;620;0;0
32500;640;25000;1
33000;625;60000;0
33010;661;55000;0
33981;666;13500;1
34000;663;300000;0
35000;271;50000;1
35000;655;52900;1
35000;726;128500;0
35200;670;109500;0
36000;571;60000;1
36000;595;70000;0
36000;607;53000;0
36000;610;0;1
36000;636;-24800;0
36000;638;30000;0
36000;649;16500;1
36000;663;69100;1
36000;720;46000;0
36900;673;70000;0
37000;679;32000;0
39600;575;0;1
40000;240;17000;1
40000;248;-13000;1
40000;267;54000;1
40000;299;54600;1
40000;308;55500;1
40000;324;109500;1
40000;582;0;0
40000;587;0;0
40000;587;24000;1
40000;599;0;0
40000;601;40000;0
40000;620;0;0
40000;621;30000;0
40000;626;36000;0
40000;635;43000;0
40000;637;0;1
40000;649;49000;0
40000;653;45000;0
40000;660;0;1
40000;661;28000;1
40000;670;32000;0
